Path	Segment	Id	RR
./corpus_rs3/corpus/25.rs3	 которые способны к изменению и закреплению этих изменений.	65	elaboration
./corpus_rs3/corpus/25.rs3	 Те существа, которые лучше приспособились, выживают,	66	contrast
./corpus_rs3/corpus/25.rs3	 а те, кто не приспособился, вымирают,	67	contrast
./corpus_rs3/corpus/25.rs3	 так как живые существа борются между собой за существование.	68	evidence
./corpus_rs3/corpus/25.rs3	 — он по меньшей мере стал менее уютным.	71	elaboration
./corpus_rs3/corpus/25.rs3	 Если до этого окружающий нас универсум всё ещё воспринимался как целесообразно устроенный и даже целесообразно украшенный дом,	72	condition
./corpus_rs3/corpus/25.rs3	 В этом, однако, сам Дарвин усматривал некое особое достоинство:	74	attribution
./corpus_rs3/corpus/25.rs3	 — образование высших животных».	77	elaboration
./corpus_rs3/corpus/25.rs3	 Тот тип религиозности, который представлял Дарвин, слишком абстрактен	78	joint
./corpus_rs3/corpus/25.rs3	 и сух, чтобы быть уютным.	79	joint
./corpus_rs3/corpus/25.rs3	 теперь в любом червячке и паучке мы можем видеть своего отдалённого родственника.	81	elaboration
./corpus_rs3/corpus/25.rs3	 ##### Принцип эволюционного естественного отбора был очень быстро распространён за пределы той области, в которой считал возможным использовать его сам Дарвин, то есть за пределы биологии.	82	joint
./corpus_rs3/corpus/25.rs3	 Герберт Спенсер первым распространил принцип естественной эволюции на человеческое общество.	83	joint
./corpus_rs3/corpus/25.rs3	 — именно здесь можно констатировать множество злоупотреблений вульгаризированным дарвинизмом.	85	elaboration
./corpus_rs3/corpus/25.rs3	 «Падающего толкни»,	87	joint
./corpus_rs3/corpus/25.rs3	 — и весьма популярный нынче в России:	88	interpretation-evaluation
./corpus_rs3/corpus/25.rs3	 Теория естественного отбора использовалась для «обоснования» нацизма.	90	joint
./corpus_rs3/corpus/25.rs3	 превозносящая преимущества свободной конкуренции,	93	elaboration
./corpus_rs3/corpus/25.rs3	 также по умолчанию опирается на некоторые элементы теории естественного отбора.	94	same-unit
./corpus_rs3/corpus/25.rs3	 ##### Теория Дарвина очень убедительна,	95	cause-effect
./corpus_rs3/corpus/25.rs3	 Но всё же нельзя забывать, что она решает вполне определённую задачу: научное объяснение в биологии.	97	joint
./corpus_rs3/corpus/25.rs3	 А теория, которая не знает своих собственных границ, не имеет отношения к науке.	98	joint
./corpus_rs3/corpus/25.rs3	 — того принципа, с которым дарвинизм несовместим как таковой.	100	elaboration
./corpus_rs3/corpus/25.rs3	 Конечно, мы являемся частью природы и во многих, очень многих вещах действуем так же, как множество собратьев наших меньших.	101	contrast
./corpus_rs3/corpus/25.rs3	 Но всё же человек может ставить	102	joint
./corpus_rs3/corpus/25.rs3	 и преследовать определённые цели.	103	joint
./corpus_rs3/corpus/25.rs3	 А также существовать в универсуме смыслов, которые не могут быть полностью сведены к причинно-следственным отношениям.	104	joint
./corpus_rs3/corpus/31.rs3	 а зря)	3	interpretation-evaluation
./corpus_rs3/corpus/31.rs3	 . Сразу в четырёх странах Западной Африки происходят события, крайне важные для их будущего развития, равно как и всего региона.	4	cause-effect
./corpus_rs3/corpus/31.rs3	 ##### Начнём с Нигерии, самой населённой африканской страны.	5	preparation
./corpus_rs3/corpus/31.rs3	 Численность её граждан уже перевалила за 150 миллионов	6	joint
./corpus_rs3/corpus/31.rs3	 и продолжает стремительно расти.	7	joint
./corpus_rs3/corpus/31.rs3	 Уже из одного этого факта следует значение Нигерии.	9	interpretation-evaluation
./corpus_rs3/corpus/31.rs3	 Кроме того, у неё второй после ЮАР ВВП на континенте,	10	joint
./corpus_rs3/corpus/31.rs3	 страна является крупнейшим производителем нефти	11	joint
./corpus_rs3/corpus/31.rs3	 то есть государств, определённых банком «Голдман Сакс» как могущих войти в число ведущих экономик XXI века.	13	elaboration
./corpus_rs3/corpus/31.rs3	 несмотря на кризис.	15	concession
./corpus_rs3/corpus/31.rs3	 посылая миротворческие контингенты в Либерию, Сьерра-Леоне, Кот д’Ивуар, а также в Дарфур.	17	elaboration
./corpus_rs3/corpus/31.rs3	 не дающим ей распрямиться во весь рост	19	joint
./corpus_rs3/corpus/31.rs3	 и стать подлинным гигантом континента,	20	joint
./corpus_rs3/corpus/31.rs3	 помимо нефтяного проклятия,	21	background
./corpus_rs3/corpus/31.rs3	 является ужасающая политическая нестабильность и межрелигиозная и межэтническая рознь.	22	same-unit
./corpus_rs3/corpus/31.rs3	 чуть не расколовшую страну.	24	elaboration
./corpus_rs3/corpus/31.rs3	 Последующие тридцать лет её единство удерживала череда диктаторов.	25	sequence
./corpus_rs3/corpus/31.rs3	 В итоге власть в руках гражданских находится лишь одиннадцатый год.	26	joint
./corpus_rs3/corpus/31.rs3	 ##### В стране — более пятисот языков, несколько сот племён и народностей, часто с давней историей взаимной ненависти.	27	cause-effect
./corpus_rs3/corpus/31.rs3	 с трёх их число увеличилось до 36.	29	elaboration
./corpus_rs3/corpus/31.rs3	 которые все пятьдесят лет независимости всё дальше уходят друг от друга.	31	elaboration
./corpus_rs3/corpus/31.rs3	 охвативший уже двенадцать штатов	33	joint
./corpus_rs3/corpus/31.rs3	 и порождающий множество проблем.	34	joint
./corpus_rs3/corpus/31.rs3	 действующими в третьем мире почти всегда разлагающе.	37	elaboration
./corpus_rs3/corpus/31.rs3	 ##### 7 марта нарыв в очередной раз прорвался.	38	preparation
./corpus_rs3/corpus/31.rs3	 в отместку за резню собратьев по вере полутора месяцами ранее.	40	cause-effect
./corpus_rs3/corpus/31.rs3	 куда на заработки сходятся люди со всех уголков страны,	42	elaboration
./corpus_rs3/corpus/31.rs3	 При густой плотности проживания,	44	joint
./corpus_rs3/corpus/31.rs3	 при столкновении разных культур и укладов,	45	joint
./corpus_rs3/corpus/31.rs3	 дефиците доступа к земле и ресурсам	46	joint
./corpus_rs3/corpus/31.rs3	 особенно при сильной трайбалистской основе всей жизни.	48	condition
./corpus_rs3/corpus/31.rs3	 стоившая жизни тысячам человек.	50	elaboration
./corpus_rs3/corpus/31.rs3	 В этот раз число жертв примерно полторы-две сотни.	51	comparison
./corpus_rs3/corpus/31.rs3	 Он отправился на лечение в Саудовскую Аравию	53	joint
./corpus_rs3/corpus/31.rs3	 и пропал,	54	joint
./corpus_rs3/corpus/31.rs3	 в котором говорил задыхающимся, еле слышным голосом.	56	elaboration
./corpus_rs3/corpus/31.rs3	 В конце концов Верховный суд дал властям две недели на решение этого вопроса,	58	sequence
./corpus_rs3/corpus/31.rs3	 который является христианином с юга в противоположность Яр’Адуа.	60	elaboration
./corpus_rs3/corpus/31.rs3	 Последний через несколько дней после передачи власти вернулся домой,	61	contrast
./corpus_rs3/corpus/31.rs3	 но по-прежнему, по слухам, привязан к аппарату жизнеобеспечения.	62	contrast
./corpus_rs3/corpus/31.rs3	 грозящей перекинуться на другие штаты,	64	elaboration
./corpus_rs3/corpus/31.rs3	 огромная страна столкнулась с проблемой легитимности власти.	65	same-unit
./corpus_rs3/corpus/31.rs3	 Не стоит забывать, что Нигерия — империя, объединяющая ислам и христианство, имеет ключевое значение на континенте.	66	joint
./corpus_rs3/corpus/31.rs3	 Напомним, что у неё есть весьма двусмысленный договор о ядерном сотрудничестве с Ираном,	67	cause-effect
./corpus_rs3/corpus/31.rs3	 До сих пор ей удавалось сдерживать приток эмиссаров «Аль-Каиды» на север и атаки партизан-сепаратистов на нефтяном юге.	69	contrast
./corpus_rs3/corpus/31.rs3	 В случае же возникновения хаоса в Нигерии	70	condition
./corpus_rs3/corpus/31.rs3	 известную своей приверженностью исламу.	74	elaboration
./corpus_rs3/corpus/31.rs3	 пытавшийся продлить своё правление вопреки конституции,	77	purpose
./corpus_rs3/corpus/31.rs3	 для чего распустил парламент	78	joint
./corpus_rs3/corpus/31.rs3	 и управлял страной декретами,	79	joint
./corpus_rs3/corpus/31.rs3	 был смещён военными	80	joint
./corpus_rs3/corpus/31.rs3	 и взят под арест.	81	joint
./corpus_rs3/corpus/31.rs3	 Стране принадлежит примерно 10% его запасов на планете,	83	joint
./corpus_rs3/corpus/31.rs3	 урановая руда составляет три четверти её экспорта.	84	joint
./corpus_rs3/corpus/31.rs3	 Напомним, что в «иракском досье», послужившем основанием для начала войны в 2003 году, фигурировали поставки ядерного сырья из Нигера в Ирак.	86	background
./corpus_rs3/corpus/31.rs3	 Вашингтон давно внимательно отслеживает все сделки страны относительно уранового сырья,	87	cause-effect
./corpus_rs3/corpus/31.rs3	 Если Африканский союз незамедлительно приостановил членство страны в своих рядах,	89	contrast
./corpus_rs3/corpus/31.rs3	 то американский Госдеп выразил мнение,	90	attribution
./corpus_rs3/corpus/31.rs3	 в которых власть правительства существует лишь номинально.	93	elaboration
./corpus_rs3/corpus/31.rs3	 среди которых успешно скрываются террористы «Аль-Каиды» с отнюдь не мирными намерениями.	95	elaboration
./corpus_rs3/corpus/31.rs3	 Так, 8 марта они застрелили пятерых солдат.	96	evidence
./corpus_rs3/corpus/31.rs3	 Куда поведёт военная хунта страну, совершенно неясно.	97	joint
./corpus_rs3/corpus/31.rs3	 ##### С запада в непосредственной близости от Нигерии находятся Кот д’Ивуар и Того.	98	preparation
./corpus_rs3/corpus/31.rs3	 чуть было не приведший к возобновлению гражданской войны.	100	elaboration
./corpus_rs3/corpus/31.rs3	 обвинив председателя последней в том,	102	attribution
./corpus_rs3/corpus/31.rs3	 Именно их присутствие	105	cause-effect
./corpus_rs3/corpus/31.rs3	 уничтожившую следы былого процветания.	107	elaboration
./corpus_rs3/corpus/31.rs3	 Срок мандата президента Гбагбо истёк ещё в 2005-м,	108	contrast
./corpus_rs3/corpus/31.rs3	 всякий раз изыскивая уважительную причину	110	joint
./corpus_rs3/corpus/31.rs3	 и перенося на неопределённый срок новые выборы.	111	joint
./corpus_rs3/corpus/31.rs3	 В стране действуют хрупкое перемирие и временное правительство.	112	joint
./corpus_rs3/corpus/31.rs3	 привычно рассчитывавший на усталость сограждан,	114	elaboration
./corpus_rs3/corpus/31.rs3	 ошибся.	115	same-unit
./corpus_rs3/corpus/31.rs3	 На улицы вышли десятки тысяч недовольных,	116	joint
./corpus_rs3/corpus/31.rs3	 начались поджоги и погромы.	117	joint
./corpus_rs3/corpus/31.rs3	 Ему пришлось идти на попятную,	118	joint
./corpus_rs3/corpus/31.rs3	 назначить главой нового ЦИКа представителя оппозиции	119	joint
./corpus_rs3/corpus/31.rs3	 и торжественно пообещать в мае-июне всё-таки провести выборы.	120	joint
./corpus_rs3/corpus/31.rs3	 Слишком велики у Гбагбо шансы проиграть	122	joint
./corpus_rs3/corpus/31.rs3	 чтобы в сто первый раз отсрочить неизбежное.	124	purpose
./corpus_rs3/corpus/31.rs3	 за непривычные стабильность и благополучие,	127	cause-effect
./corpus_rs3/corpus/31.rs3	 сегодня прозябает в стагнации и нищете,	128	joint
./corpus_rs3/corpus/31.rs3	 гражданская война готова там вспыхнуть вновь в любой момент.	129	joint
./corpus_rs3/corpus/31.rs3	 где 4 марта прошли президентские выборы.	131	elaboration
./corpus_rs3/corpus/31.rs3	 известного тем, что скармливал крокодилам оппонентов,	133	elaboration
./corpus_rs3/corpus/31.rs3	 объявлен победителем.	134	same-unit
./corpus_rs3/corpus/31.rs3	 перешедшим в массовые беспорядки.	136	elaboration
./corpus_rs3/corpus/31.rs3	 так, власти раздавали рис в голодающих районах в обмен на голоса избирателей.	138	elaboration
./corpus_rs3/corpus/31.rs3	 олицетворяемые исламским фундаментализмом и «Аль-Каидой»,	141	elaboration
./corpus_rs3/corpus/31.rs3	 диктатура, коррупция, трайбализм и клановость.	143	elaboration
./corpus_rs3/corpus/31.rs3	 Достаточно вспомнить, что «рождественский террорист», пытавшийся взорвать американский авиалайнер накануне Нового года, — выходец из Нигерии.	145	joint
./corpus_rs3/corpus/31.rs3	 А в миротворческой миссии в Кот д’Ивуаре есть и российские офицеры.	146	joint
./corpus_rs3/corpus/19.rs3	 («ограниченного контингента», как называли их в период 1979—1989 годов)	2	elaboration
./corpus_rs3/corpus/19.rs3	 из Афганистана.	3	same-unit
./corpus_rs3/corpus/19.rs3	 (в конце года будет отмечаться 30 лет с момента принятия решения о вводе войск в эту неостывшую доныне горячую точку).	5	elaboration
./corpus_rs3/corpus/19.rs3	 За девять лет пребывания советского контингента в Афганистане, только по официальным данным, погибли 14 453 гражданина несуществующего сегодня государства.	7	evidence
./corpus_rs3/corpus/19.rs3	 которые задолго до 11 сентября узрели «мировую террористическую угрозу».	9	elaboration
./corpus_rs3/corpus/19.rs3	 в канун очередной годовщины ввода ограниченного контингента,	11	elaboration
./corpus_rs3/corpus/19.rs3	 парламент страны официально осудил этот шаг:	12	same-unit
./corpus_rs3/corpus/19.rs3	 принесшего неисчислимые беды миллионам афганцев,	14	elaboration
./corpus_rs3/corpus/19.rs3	 были подорваны экономические и социальные основы афганского государства.	15	same-unit
./corpus_rs3/corpus/19.rs3	 И это афганский народ не забывает сегодня	16	joint
./corpus_rs3/corpus/19.rs3	 и не забудет завтра».	17	joint
./corpus_rs3/corpus/19.rs3	 (как называли военнослужащих Советской армии)	19	elaboration
./corpus_rs3/corpus/19.rs3	 на афганской земле не наступило «конца истории» по сценариям Фрэнсиса Фукуямы.	20	same-unit
./corpus_rs3/corpus/19.rs3	 отказавшейся от «бессмертного учения» еще накануне распада СССР)	22	elaboration
./corpus_rs3/corpus/19.rs3	 , затем перманентная война победителей,	23	sequence
./corpus_rs3/corpus/19.rs3	 показавшийся возвратом в светлое средневековое прошлое.	25	elaboration
./corpus_rs3/corpus/19.rs3	 На смену талибам пришла пора «демократизации» под флагами НАТО и США.	26	contrast
./corpus_rs3/corpus/19.rs3	 приезжающие проверить результаты «демократического транзита»)	29	elaboration
./corpus_rs3/corpus/19.rs3	 и регулярные всплески нестабильности заставляют с новой силой искать ответы на неудобные вопросы.	30	same-unit
./corpus_rs3/corpus/19.rs3	 На те вопросы, которые не попадают в официальные ноты и заявления стран ЕС и США (как, впрочем, и в комментарии российских политиков).	31	joint
./corpus_rs3/corpus/19.rs3	 (а фактически речь идет о США)	33	elaboration
./corpus_rs3/corpus/19.rs3	 Афганистан не представляет собой образование, принципиально отличающееся от того, каким он был в 90-е — начале 2000-х годов, то есть после ухода «русских оккупантов»?	34	same-unit
./corpus_rs3/corpus/19.rs3	 ##### По многим параметрам ситуация даже стала ухудшаться.	35	preparation
./corpus_rs3/corpus/19.rs3	 Ежегодно от США Афганистан получает на обеспечение внешнего военного присутствия 10 млрд долларов.	36	joint
./corpus_rs3/corpus/19.rs3	 что 20% героина производится именно на его территории,	38	joint
./corpus_rs3/corpus/19.rs3	 90 тыс. га афганской земли предназначается для производства наркотиков.	39	joint
./corpus_rs3/corpus/19.rs3	 И эти данные сообщают не эксперты российской Госдумы, а ООН.	40	joint
./corpus_rs3/corpus/19.rs3	 Впрочем, президентом он является чисто юридически.	42	concession
./corpus_rs3/corpus/19.rs3	 ##### Фактически же, несмотря на американский контроль и финансовую помощь, в сегодняшнем Афганистане возродилась практика позднего Наджибуллы.	43	joint
./corpus_rs3/corpus/19.rs3	 когда центральная власть (слабая и эфемерная) не лезет в местные дела,	45	contrast
./corpus_rs3/corpus/19.rs3	 тогда как лидеры «на местах» демонстрируют внешнюю лояльность.	46	contrast
./corpus_rs3/corpus/19.rs3	 При этом такая лояльность стоит недешево.	47	joint
./corpus_rs3/corpus/19.rs3	 И все это на фоне активизации талибов и их террористической деятельности.	48	joint
./corpus_rs3/corpus/19.rs3	 Таким образом, налицо провал изначальных планов Вашингтона.	49	joint
./corpus_rs3/corpus/19.rs3	 «Демократизация Афганистана» провалилась, равно как и «стабилизация» этого региона.	50	joint
./corpus_rs3/corpus/19.rs3	 — демократическим Афганистаном,	52	elaboration
./corpus_rs3/corpus/19.rs3	 — выглядит сегодня как не совсем научная фантастика.	53	same-unit
./corpus_rs3/corpus/19.rs3	 И все же стоит ли радоваться неудаче нашего «заклятого друга», особенно на фоне непростой динамики двусторонних российско-американских отношений?	54	joint
./corpus_rs3/corpus/19.rs3	 ##### Сегодня уже всем становится очевидна взаимосвязь тогдашнего «интернационального долга» СССР с «демократическим долгом» США сегодняшнего образца.	55	joint
./corpus_rs3/corpus/19.rs3	 В этой связи чрезвычайно важным представляется определение того, что такое «уроки Афганистана».	56	joint
./corpus_rs3/corpus/19.rs3	 Как бы банально ни звучала такая постановка вопроса,	57	concession
./corpus_rs3/corpus/19.rs3	 Каким бы далеким ни казался сегодня Афганистан,	59	concession
./corpus_rs3/corpus/19.rs3	 (о чем мы уже писали выше)	62	attribution
./corpus_rs3/corpus/19.rs3	 . Во-вторых, Афганистан граничит с тремя центральноазиатскими государствами (Туркменистан, Таджикистан, Узбекистан).	63	joint
./corpus_rs3/corpus/19.rs3	 (что показал нам и Таджикистан в 1991—1992 годах)	65	elaboration
./corpus_rs3/corpus/19.rs3	 переброски «афганского пожара» на постсоветскую Центральную Азию,	66	elaboration
./corpus_rs3/corpus/19.rs3	 установив с ней взаимовыгодную кооперацию.	69	elaboration
./corpus_rs3/corpus/19.rs3	 ##### Главным «уроком» Афганистана является неадекватность наших представлений о нем.	70	preparation
./corpus_rs3/corpus/19.rs3	 Перепись населения там планировали провести еще в 1979 году,	72	joint
./corpus_rs3/corpus/19.rs3	 но затем по известным причинам «отложили».	73	joint
./corpus_rs3/corpus/19.rs3	 Последний перенос был сделан в июне 2008 года.	74	sequence
./corpus_rs3/corpus/19.rs3	 В прошлом году власти Афганистана отложили на два года проведение первой в истории страны переписи населения.	75	sequence
./corpus_rs3/corpus/19.rs3	 Таким образом, накладывать на социальную реальность догматические схемы,	76	joint
./corpus_rs3/corpus/19.rs3	 пытаться преобразовывать реальность на основе идеологического пуризма	77	joint
./corpus_rs3/corpus/19.rs3	 — все это как минимум неэффективно,	78	contrast
./corpus_rs3/corpus/19.rs3	 а как максимум ведет к провалу.	79	contrast
./corpus_rs3/corpus/19.rs3	 В свое время СССР пытался построить в Афганистане общество «развитого социализма».	80	contrast
./corpus_rs3/corpus/19.rs3	 не понимая, что и социализм, и демократия возможны только в рамках государственного, а не племенного дискурса.	82	elaboration
./corpus_rs3/corpus/19.rs3	 не имевшее государственности (или имевшее только слабые ее ростки) ,	84	elaboration
./corpus_rs3/corpus/19.rs3	 может сопротивляться «огосударствлению» как под красным, так и под звездно-полосатым флагом.	85	same-unit
./corpus_rs3/corpus/19.rs3	 ##### С начала 80-х годов прошлого века правительство США поддерживало афганских freedom-fighters, несмотря на их явный антизападный стиль политического и социального поведения.	86	background
./corpus_rs3/corpus/19.rs3	 нельзя использовать эту страну в сиюминутной борьбе конъюнктурных целей,	88	joint
./corpus_rs3/corpus/19.rs3	 а потом бросать на произвол судьбы.	89	joint
./corpus_rs3/corpus/19.rs3	 Так сделал СССР в 1989 году.	90	joint
./corpus_rs3/corpus/19.rs3	 Так же поступили и американцы.	91	joint
./corpus_rs3/corpus/19.rs3	 Добив Наджибуллу,	92	elaboration
./corpus_rs3/corpus/19.rs3	 И это несмотря на то, что бывший просоветский лидер к 1991 году уже успел отказаться и от коммунизма, и от атеизма	94	joint
./corpus_rs3/corpus/19.rs3	 доставляющими сегодня столько хлопот Вашингтону (и, кстати сказать, Москве).	96	elaboration
./corpus_rs3/corpus/19.rs3	 ##### Третий урок состоит в том, что Афганистан можно бросить,	97	contrast
./corpus_rs3/corpus/19.rs3	 если вы уже ввязались в «большую игру» в нем.	99	condition
./corpus_rs3/corpus/19.rs3	 Афганистан настиг Россию в 1992 году на таджикско-афганской границе.	100	joint
./corpus_rs3/corpus/19.rs3	 Заключение ДКБ (Договора о коллективной безопасности) в мае 1992 года в Ташкенте было во многом реакцией на «экспорт Афганистана» в СНГ.	101	cause-effect
./corpus_rs3/corpus/19.rs3	 нам необходимо тем или иным способом присутствовать в Афганистане.	103	elaboration
./corpus_rs3/corpus/19.rs3	 (поддерживая «панджшерского льва» Ахмад Шах Масуда и объединенный фронт антиталибовской оппозиции).	105	elaboration
./corpus_rs3/corpus/19.rs3	 ##### И вот наступил 2001 год.	106	joint
./corpus_rs3/corpus/19.rs3	 США решили «демократизировать» Афганистан.	107	joint
./corpus_rs3/corpus/19.rs3	 Впервые в нашей истории кто-то из западных государств решился сделать за нас грязную работу.	108	joint
./corpus_rs3/corpus/19.rs3	 Раньше Россия и СССР рвали себе жилы в Восточной Пруссии для «чуда на Марне», а затем в Восточной Европе для «минимизации» провала под Арденнами.	109	contrast
./corpus_rs3/corpus/19.rs3	 А в 2001 году заботу о безопасности в Центральной Азии с нами были готовы разделить американцы.	110	contrast
./corpus_rs3/corpus/19.rs3	 И кто знает,	111	interpretation-evaluation
./corpus_rs3/corpus/19.rs3	 не окажись они со своими завиральными проектами в Афганистане,	112	condition
./corpus_rs3/corpus/19.rs3	 Провал СССР не стал триумфом США.	116	evidence
./corpus_rs3/corpus/19.rs3	 ##### Напротив, нынешняя террористическая война талибов во многом детерминирована и 1979-м, и 1989-м годами, вводом и выводом советских войск из Афганистана.	117	joint
./corpus_rs3/corpus/19.rs3	 Сегодня вывод американских войск из этой страны осложнит ситуацию в Центральной Азии, на южных и восточных рубежах России.	118	evidence
./corpus_rs3/corpus/19.rs3	 Никто не требует, чтобы Россия сегодня ринулась в бой ради интересов Штатов.	120	contrast
./corpus_rs3/corpus/19.rs3	 которые во многом являются общими для нас,	122	elaboration
./corpus_rs3/corpus/19.rs3	 было бы оптимально.	123	same-unit
./corpus_rs3/corpus/18.rs3	 ##### Запущен первый демонстрационный спутник (Giove-A) для будущей европейской глобальной навигационной спутниковой системы «Галилео» (Galileo).	1	joint
./corpus_rs3/corpus/18.rs3	 Ранее спутник Giove-A назывался — GSTB-V2/A (Galileo System Test Bed Version 2).	2	joint
./corpus_rs3/corpus/18.rs3	 Спутник Giove-A был запущен с космодрома Байконур (Казахстан) в 05:19 (UTC) (08:19 московского времени) российской ракетой-носителем «Союз ФГ» вместе с разгонным блоком «Фрегат».	3	joint
./corpus_rs3/corpus/18.rs3	 Разгонным буксиром «Фрегат» спутник был выведен на расчётную круговую орбиту:	4	elaboration
./corpus_rs3/corpus/18.rs3	 ##### Спутник Giove-A изготовлен в Великобритании,	6	joint
./corpus_rs3/corpus/18.rs3	 его вес — 600 кг.	7	joint
./corpus_rs3/corpus/18.rs3	 которая предоставлена Международным телекоммуникационным союзом (International Telecommunications Union (ITU)) для системы «Галилео».	9	elaboration
./corpus_rs3/corpus/18.rs3	 которые будут использоваться в действующей системе «Галилео».	11	elaboration
./corpus_rs3/corpus/18.rs3	 Будет также исследована радиационная обстановка на орбите.	12	joint
./corpus_rs3/corpus/18.rs3	 ##### В начале 2006 года планируется,	13	elaboration
./corpus_rs3/corpus/18.rs3	 планируется запуск четырёх операционных спутников.	16	purpose
./corpus_rs3/corpus/18.rs3	 Когда система из четырёх спутников будет полностью проверена и работоспособна,	17	condition
./corpus_rs3/corpus/18.rs3	 ##### «Галилео» будет независимой, собственной европейской глобальной спутниковой навигационной системой, под гражданским контролем.	19	joint
./corpus_rs3/corpus/18.rs3	 Общая стоимость система, примерно, 3,5 млрд. евро.	20	joint
./corpus_rs3/corpus/18.rs3	 В систему «Галилео» будут входить 30 спутников (27 операционных и 3 запасных)	21	joint
